tn,tp,fp,fn,Accuracy_Score,seed,feature_set,ROC-AUC,MCC,Sensitivity,Specificity,Recall_Sensitivity,Precision,Recall_Specificity
30,4,9,17,0.5666666666666667,9198,clinical_base,0.47985347985347976,-0.046649971620151415,0.19047619047619047,0.7692307692307693,0.19047619047619047,0.3076923076923077,0.7692307692307693
30,6,9,15,0.6,9198,clinical_guild,0.5274725274725274,0.06052275326688024,0.2857142857142857,0.7692307692307693,0.2857142857142857,0.4,0.7692307692307693
33,6,6,15,0.65,9198,clinical_guild_split,0.5659340659340659,0.15724272550828775,0.2857142857142857,0.8461538461538461,0.2857142857142857,0.5,0.8461538461538461
32,5,7,16,0.6166666666666667,9198,brain_base,0.5293040293040293,0.06988565578146122,0.23809523809523808,0.8205128205128205,0.23809523809523808,0.4166666666666667,0.8205128205128205
34,5,5,16,0.65,9198,brain_guild,0.5549450549450549,0.14064216928154863,0.23809523809523808,0.8717948717948718,0.23809523809523808,0.5,0.8717948717948718
32,4,7,17,0.6,9198,brain_guild_split,0.5054945054945055,0.013545847312307442,0.19047619047619047,0.8205128205128205,0.19047619047619047,0.36363636363636365,0.8205128205128205
39,19,0,2,0.9666666666666667,9198,AD_base,0.9523809523809523,0.9276999394741537,0.9047619047619048,1.0,0.9047619047619048,1.0,1.0
39,19,0,2,0.9666666666666667,9198,AD_guild,0.9523809523809523,0.9276999394741537,0.9047619047619048,1.0,0.9047619047619048,1.0,1.0
39,18,0,3,0.95,9198,AD_guild_split,0.9285714285714286,0.8921425711997711,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0
32,8,7,13,0.6666666666666666,8831,clinical_base,0.6007326007326007,0.2219167619785609,0.38095238095238093,0.8205128205128205,0.38095238095238093,0.5333333333333333,0.8205128205128205
34,3,5,18,0.6166666666666667,8831,clinical_guild,0.5073260073260073,0.02055855707018649,0.14285714285714285,0.8717948717948718,0.14285714285714285,0.375,0.8717948717948718
37,1,2,20,0.6333333333333333,8831,clinical_guild_split,0.4981684981684982,-0.008016434504064697,0.047619047619047616,0.9487179487179487,0.047619047619047616,0.3333333333333333,0.9487179487179487
33,4,6,17,0.6166666666666667,8831,brain_base,0.5183150183150182,0.046880723093849545,0.19047619047619047,0.8461538461538461,0.19047619047619047,0.4,0.8461538461538461
36,1,3,20,0.6166666666666667,8831,brain_guild,0.4853479853479854,-0.056033181468052584,0.047619047619047616,0.9230769230769231,0.047619047619047616,0.25,0.9230769230769231
37,2,2,19,0.65,8831,brain_guild_split,0.521978021978022,0.08404977220207888,0.09523809523809523,0.9487179487179487,0.09523809523809523,0.5,0.9487179487179487
38,18,1,3,0.9333333333333333,8831,AD_base,0.9157509157509157,0.8525825354681494,0.8571428571428571,0.9743589743589743,0.8571428571428571,0.9473684210526315,0.9743589743589743
38,18,1,3,0.9333333333333333,8831,AD_guild,0.9157509157509157,0.8525825354681494,0.8571428571428571,0.9743589743589743,0.8571428571428571,0.9473684210526315,0.9743589743589743
38,19,1,2,0.95,8831,AD_guild_split,0.9395604395604394,0.8894991799933214,0.9047619047619048,0.9743589743589743,0.9047619047619048,0.95,0.9743589743589743
33,8,10,9,0.6833333333333333,4305,clinical_base,0.619015047879617,0.23406132653538947,0.47058823529411764,0.7674418604651163,0.47058823529411764,0.4444444444444444,0.7674418604651163
37,8,6,9,0.75,4305,clinical_guild,0.6655266757865937,0.3527067278059974,0.47058823529411764,0.8604651162790697,0.47058823529411764,0.5714285714285714,0.8604651162790697
37,10,6,7,0.7833333333333333,4305,clinical_guild_split,0.7243502051983585,0.45722379673248675,0.5882352941176471,0.8604651162790697,0.5882352941176471,0.625,0.8604651162790697
38,8,5,9,0.7666666666666667,4305,brain_base,0.6771545827633378,0.3875435118834539,0.47058823529411764,0.8837209302325582,0.47058823529411764,0.6153846153846154,0.8837209302325582
39,6,4,11,0.75,4305,brain_guild,0.6299589603283176,0.3142750544499534,0.35294117647058826,0.9069767441860465,0.35294117647058826,0.6,0.9069767441860465
39,7,4,10,0.7666666666666667,4305,brain_guild_split,0.6593707250341997,0.37119562591870875,0.4117647058823529,0.9069767441860465,0.4117647058823529,0.6363636363636364,0.9069767441860465
43,16,0,1,0.9833333333333333,4305,AD_base,0.9705882352941176,0.9590547931461917,0.9411764705882353,1.0,0.9411764705882353,1.0,1.0
43,16,0,1,0.9833333333333333,4305,AD_guild,0.9705882352941176,0.9590547931461917,0.9411764705882353,1.0,0.9411764705882353,1.0,1.0
43,16,0,1,0.9833333333333333,4305,AD_guild_split,0.9705882352941176,0.9590547931461917,0.9411764705882353,1.0,0.9411764705882353,1.0,1.0
33,6,8,13,0.65,9578,clinical_base,0.5603337612323492,0.13271383256293567,0.3157894736842105,0.8048780487804879,0.3157894736842105,0.42857142857142855,0.8048780487804879
32,5,9,14,0.6166666666666667,9578,clinical_guild,0.5218228498074454,0.04800287560787035,0.2631578947368421,0.7804878048780488,0.2631578947368421,0.35714285714285715,0.7804878048780488
33,7,8,12,0.6666666666666666,9578,clinical_guild_split,0.5866495507060334,0.18617148085142726,0.3684210526315789,0.8048780487804879,0.3684210526315789,0.4666666666666667,0.8048780487804879
34,6,7,13,0.6666666666666666,9578,brain_base,0.5725288831835686,0.16379065117776073,0.3157894736842105,0.8292682926829268,0.3157894736842105,0.46153846153846156,0.8292682926829268
35,3,6,16,0.6333333333333333,9578,brain_guild,0.5057766367137355,0.015051072157413536,0.15789473684210525,0.8536585365853658,0.15789473684210525,0.3333333333333333,0.8536585365853658
35,2,6,17,0.6166666666666667,9578,brain_guild_split,0.4794608472400513,-0.05621271791486973,0.10526315789473684,0.8536585365853658,0.10526315789473684,0.25,0.8536585365853658
41,17,0,2,0.9666666666666667,9578,AD_base,0.9473684210526316,0.9236455895150476,0.8947368421052632,1.0,0.8947368421052632,1.0,1.0
41,18,0,1,0.9833333333333333,9578,AD_guild,0.9736842105263157,0.9616714772078809,0.9473684210526315,1.0,0.9473684210526315,1.0,1.0
41,16,0,3,0.95,9578,AD_guild_split,0.9210526315789473,0.8858267297927462,0.8421052631578947,1.0,0.8421052631578947,1.0,1.0
31,2,6,21,0.55,7020,clinical_base,0.4623971797884841,-0.10756439246618868,0.08695652173913043,0.8378378378378378,0.08695652173913043,0.25,0.8378378378378378
30,2,7,21,0.5333333333333333,7020,clinical_guild,0.44888366627497056,-0.13920285090358006,0.08695652173913043,0.8108108108108109,0.08695652173913043,0.2222222222222222,0.8108108108108109
30,4,7,19,0.5666666666666667,7020,clinical_guild_split,0.4923619271445358,-0.01919482644438814,0.17391304347826086,0.8108108108108109,0.17391304347826086,0.36363636363636365,0.8108108108108109
31,3,6,20,0.5666666666666667,7020,brain_base,0.4841363102232667,-0.043200884763180014,0.13043478260869565,0.8378378378378378,0.13043478260869565,0.3333333333333333,0.8378378378378378
33,5,4,18,0.6333333333333333,7020,brain_guild,0.554641598119859,0.14880304751762005,0.21739130434782608,0.8918918918918919,0.21739130434782608,0.5555555555555556,0.8918918918918919
33,2,4,21,0.5833333333333334,7020,brain_guild_split,0.48942420681551113,-0.03427955850955305,0.08695652173913043,0.8918918918918919,0.08695652173913043,0.3333333333333333,0.8918918918918919
36,20,1,3,0.9333333333333333,7020,AD_base,0.9212690951821386,0.8588403193425617,0.8695652173913043,0.972972972972973,0.8695652173913043,0.9523809523809523,0.972972972972973
36,20,1,3,0.9333333333333333,7020,AD_guild,0.9212690951821386,0.8588403193425617,0.8695652173913043,0.972972972972973,0.8695652173913043,0.9523809523809523,0.972972972972973
36,20,1,3,0.9333333333333333,7020,AD_guild_split,0.9212690951821386,0.8588403193425617,0.8695652173913043,0.972972972972973,0.8695652173913043,0.9523809523809523,0.972972972972973
30,5,6,19,0.5833333333333334,9561,clinical_base,0.5208333333333334,0.052753496133999746,0.20833333333333334,0.8333333333333334,0.20833333333333334,0.45454545454545453,0.8333333333333334
32,4,4,20,0.6,9561,clinical_guild,0.5277777777777778,0.08006407690254358,0.16666666666666666,0.8888888888888888,0.16666666666666666,0.5,0.8888888888888888
34,5,2,19,0.65,9561,clinical_guild_split,0.5763888888888888,0.23314714686961358,0.20833333333333334,0.9444444444444444,0.20833333333333334,0.7142857142857143,0.9444444444444444
34,7,2,17,0.6833333333333333,9561,brain_base,0.6180555555555556,0.32394177193585005,0.2916666666666667,0.9444444444444444,0.2916666666666667,0.7777777777777778,0.9444444444444444
33,6,3,18,0.65,9561,brain_guild,0.5833333333333333,0.2286647801900118,0.25,0.9166666666666666,0.25,0.6666666666666666,0.9166666666666666
32,7,4,17,0.65,9561,brain_guild_split,0.5902777777777778,0.22859848324733223,0.2916666666666667,0.8888888888888888,0.2916666666666667,0.6363636363636364,0.8888888888888888
36,24,0,0,1.0,9561,AD_base,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,24,0,0,1.0,9561,AD_guild,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,24,0,0,1.0,9561,AD_guild_split,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,6,6,14,0.6666666666666666,6544,clinical_base,0.575,0.17677669529663687,0.3,0.85,0.3,0.5,0.85
34,6,6,14,0.6666666666666666,6544,clinical_guild,0.575,0.17677669529663687,0.3,0.85,0.3,0.5,0.85
36,4,4,16,0.6666666666666666,6544,clinical_guild_split,0.55,0.1386750490563073,0.2,0.9,0.2,0.5,0.9
37,4,3,16,0.6833333333333333,6544,brain_base,0.5625,0.1835557745535881,0.2,0.925,0.2,0.5714285714285714,0.925
34,3,6,17,0.6166666666666667,6544,brain_guild,0.49999999999999994,0.0,0.15,0.85,0.15,0.3333333333333333,0.85
36,3,4,17,0.65,6544,brain_guild_split,0.5249999999999999,0.07342230982143523,0.15,0.9,0.15,0.42857142857142855,0.9
39,18,1,2,0.95,6544,AD_base,0.9374999999999999,0.8867155358917449,0.9,0.975,0.9,0.9473684210526315,0.975
39,18,1,2,0.95,6544,AD_guild,0.9374999999999999,0.8867155358917449,0.9,0.975,0.9,0.9473684210526315,0.975
39,18,1,2,0.95,6544,AD_guild_split,0.9374999999999999,0.8867155358917449,0.9,0.975,0.9,0.9473684210526315,0.975
33,7,9,11,0.6666666666666666,5931,clinical_base,0.5873015873015872,0.1809367161139365,0.3888888888888889,0.7857142857142857,0.3888888888888889,0.4375,0.7857142857142857
36,8,6,10,0.7333333333333333,5931,clinical_guild,0.6507936507936508,0.3267616012328021,0.4444444444444444,0.8571428571428571,0.4444444444444444,0.5714285714285714,0.8571428571428571
38,6,4,12,0.7333333333333333,5931,clinical_guild_split,0.6190476190476191,0.2927700218845599,0.3333333333333333,0.9047619047619048,0.3333333333333333,0.6,0.9047619047619048
37,8,5,10,0.75,5931,brain_base,0.6626984126984126,0.36195418651880895,0.4444444444444444,0.8809523809523809,0.4444444444444444,0.6153846153846154,0.8809523809523809
37,6,5,12,0.7166666666666667,5931,brain_guild,0.6071428571428571,0.2537813680559109,0.3333333333333333,0.8809523809523809,0.3333333333333333,0.5454545454545454,0.8809523809523809
36,4,6,14,0.6666666666666666,5931,brain_guild_split,0.5396825396825398,0.09759000729485331,0.2222222222222222,0.8571428571428571,0.2222222222222222,0.4,0.8571428571428571
41,17,1,1,0.9666666666666667,5931,AD_base,0.9603174603174603,0.9206349206349206,0.9444444444444444,0.9761904761904762,0.9444444444444444,0.9444444444444444,0.9761904761904762
41,17,1,1,0.9666666666666667,5931,AD_guild,0.9603174603174603,0.9206349206349206,0.9444444444444444,0.9761904761904762,0.9444444444444444,0.9444444444444444,0.9761904761904762
41,16,1,2,0.95,5931,AD_guild_split,0.9325396825396824,0.8797477445640501,0.8888888888888888,0.9761904761904762,0.8888888888888888,0.9411764705882353,0.9761904761904762
